star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
9490,0.206735064,2.47557843,0.04744587875,1.0,1.0,1.0,3,13.597730783326156
9490,0.301608828,2.25244438,0.04570541833333333,1.0,1.0,1.0,3,12.875526562009739
9490,0.57612012,2.43294906,0.022132999166666667,1.0,1.0,1.0,3,11.999524052791223
9701,5.71793087,2.51087521,0.10414082375,1.0,1.0,1.0,3,7.01972998250918
9701,15.5850308,2.32670065,0.12056873208333334,1.0,1.0,1.0,3,5.946055107555042
9701,38.0430475,1.92557238,0.29251510541666664,1.0,1.0,1.0,3,6.586635148170817
9737,5.52536081,2.26818503,0.15245842958333333,1.0,1.0,1.0,3,7.9417492470563245
9737,9.12792866,3.22573618,0.1842038975,1.0,1.0,1.0,3,11.000585479868814
9737,26.4924639,6.86255836,0.26563002125,1.0,1.0,1.0,3,46.487555750795025
9825,34.1554727,1.05794426,0.20518463291666666,1.0,1.0,1.0,2,1.545989558204113
9825,156.84956,1.78654663,0.23479681,1.0,1.0,1.0,2,5.240211352819096
9827,0.396020923,1.41772517,0.055653300833333336,1.0,1.0,1.0,3,3.8990364587073483
9827,0.651466746,1.38072963,0.054458006249999996,1.0,1.0,1.0,3,3.026385004436862
9827,1.08135094,1.30646402,0.024970342125,1.0,1.0,1.0,3,2.3002404713018576
9961,4.35827265,1.65131682,0.12317636291666667,1.0,1.0,1.0,2,5.118011388239117
9961,7.06763879,1.76639931,0.14915148666666667,1.0,1.0,1.0,2,5.659536559684396
10004,6.77362945,1.1985956,0.164027025,1.0,1.0,1.0,2,1.7988087221314784
10004,11.5209871,2.36785639,0.19296797333333335,1.0,1.0,1.0,2,5.663770993795854
10375,3.38400001,1.03671946,0.11693554083333334,1.0,1.0,1.0,2,1.1257361726691864
10375,7.56703007,1.75496371,0.09459094125,1.0,1.0,1.0,2,5.559614009002261
10471,7.08460439,1.25530709,0.13953210375,1.0,1.0,1.0,2,2.348428578683049
10471,12.7788957,1.46770299,0.15022399,1.0,1.0,1.0,2,2.719951851710854
10507,0.788449835,1.72676084,0.08132002333333334,1.0,1.0,1.0,3,5.35422785398085
10507,4.36548334,2.00612522,0.14258051083333334,1.0,1.0,1.0,3,6.15485524053193
10507,17.9894443,2.92980023,0.21447451708333332,1.0,1.0,1.0,3,7.155807985808124
10521,2.11256177,1.22247356,0.11071188916666667,1.0,1.0,1.0,4,1.9950259720283554
10521,3.12164193,1.10314498,0.1032244625,1.0,1.0,1.0,4,0.8954766288150464
10521,6.20569152,1.35371543,0.14952026125,1.0,1.0,1.0,4,2.1504878305034745
10521,10.3794231,1.44686723,0.17522582499999997,1.0,1.0,1.0,4,2.9164512404242413
10689,5.06212838,1.80949146,0.14843908458333333,1.0,1.0,1.0,2,5.9090614536154344
10689,7.24390359,1.47286987,0.1543752675,1.0,1.0,1.0,2,2.483242619255006
10728,2.35484733,2.40599563,0.08397307583333334,1.0,1.0,1.0,2,9.525377850861092
10728,4.75715863,2.05155205,0.053730148750000005,1.0,1.0,1.0,2,5.513598339960451
10933,66.2207104,2.49857713,0.27870217,1.0,1.0,1.0,2,5.137588549166948
10933,141.633366,2.93567179,0.43657233749999996,1.0,1.0,1.0,2,5.343033400071869
10999,3.77810674,2.31195744,0.13638714833333335,1.0,1.0,1.0,2,8.188983967765829
10999,9.51402253,1.33042667,0.0606792025,1.0,1.0,1.0,2,2.8566545613580177
11120,9.23297651,1.61987793,0.06655057458333334,1.0,1.0,1.0,3,4.149949514223354
11120,40.4416522,4.36617328,0.30490741875,1.0,1.0,1.0,3,20.441751362080716
11120,96.0617054,4.54133291,0.2853017058333333,1.0,1.0,1.0,3,18.460009721431966
11139,7.93558044,2.01381766,0.15789437833333334,1.0,1.0,1.0,2,7.615837821139096
11139,19.9111539,1.95135194,0.19682257375,1.0,1.0,1.0,2,6.873542258292942
11204,4.22705698,1.11779955,0.13697289833333334,1.0,1.0,1.0,3,1.4200414456427208
11204,10.3086078,1.22703703,0.12303496166666666,1.0,1.0,1.0,3,2.030664668033718
11204,101.150148,1.33043593,0.4019822775,1.0,1.0,1.0,3,2.1879735634959703
11490,5.12874654,4.23273711,0.15351604916666667,1.0,1.0,1.0,3,14.224342693304614
11490,15.6155232,5.19724232,0.21944225041666665,1.0,1.0,1.0,3,29.724269171704428
11490,101.027061,5.23897392,0.39242814000000004,1.0,1.0,1.0,3,28.678171717489185
11724,2.18680665,1.97147902,0.10194789166666667,1.0,1.0,1.0,3,6.458778370924451
11724,3.42358082,1.24782694,0.04643199541666667,1.0,1.0,1.0,3,1.960299428313216
11724,8.63312127,1.06090863,0.09752157,1.0,1.0,1.0,3,0.8961347797478738
11859,1.69300081,2.40073048,0.09669740625,1.0,1.0,1.0,2,9.716455271684747
11859,3.42528996,1.30618016,0.12819090041666667,1.0,1.0,1.0,2,3.0440630421862513
12061,6.29611509,2.82004865,0.15018220958333334,1.0,1.0,1.0,2,9.11223436121478
12061,47.2492939,2.07284281,0.29355246208333335,1.0,1.0,1.0,2,5.97336026728422
12062,0.479612624,3.71102266,0.05404758666666667,1.0,1.0,1.0,2,16.65091058536469
12062,0.891716629,4.12787569,0.07215291208333334,1.0,1.0,1.0,2,18.803448108812944
12210,0.248400772,0.514238597,0.0585694525,1.0,1.0,1.0,2,0.12515427338906185
12210,0.368352626,0.611631089,0.05987229791666667,1.0,1.0,1.0,2,0.13426070592953462
12239,8.60231888,1.84421367,0.04380566541666667,1.0,1.0,1.0,2,4.160859600165498
12239,37.0230982,2.38993899,0.2513499270833333,1.0,1.0,1.0,2,5.520123105126009
12274,1.58403645,1.87620459,0.08430025333333334,1.0,1.0,1.0,2,2.0569857122410897
12274,2.66644098,1.5334309,0.11853109708333333,1.0,1.0,1.0,2,4.567424808057524
12494,5.30561434,2.19585751,0.13780611416666666,1.0,1.0,1.0,2,8.316444582136771
12494,7.79532349,1.62829206,0.14244026,1.0,1.0,1.0,2,4.596765348115753
12868,1.09993176,2.07413096,0.08996478041666667,1.0,1.0,1.0,2,10.383311695506142
12868,1.81999714,2.54904436,0.09348615458333333,1.0,1.0,1.0,2,9.980368470410006
12910,19.8638889,2.02531853,0.19840202958333333,1.0,1.0,1.0,2,7.195122069895454
12910,67.769801,2.73469871,0.34504806708333335,1.0,1.0,1.0,2,5.536572374457711
12956,5.57027412,2.26156832,0.14782738583333332,1.0,1.0,1.0,3,6.457676216050844
12956,41.7582746,4.04407247,0.16063104666666667,1.0,1.0,1.0,3,16.803042770158207
12956,54.1947316,3.38919445,0.32708737375,1.0,1.0,1.0,3,9.22414730717642
13144,0.649231348,0.904834974,0.06479672375,1.0,1.0,1.0,3,0.5282704808387191
13144,1.01645153,1.37648531,0.08625144541666667,1.0,1.0,1.0,3,1.5320316736115185
13144,2.63025035,1.31760714,0.07328757749999999,1.0,1.0,1.0,3,3.103701347727484
13153,1.79317698,1.27544541,0.09443701916666668,1.0,1.0,1.0,2,1.4674529793378384
13153,29.4263739,1.24544988,0.26006991125,1.0,1.0,1.0,2,1.5601801189079465
13184,1.99054689,1.18264329,0.09676868083333334,1.0,1.0,1.0,4,1.1676492904387117
13184,2.44404393,1.12163998,0.11056189374999999,1.0,1.0,1.0,4,1.6810057908210643
13184,3.98348511,1.03067176,0.0732065925,1.0,1.0,1.0,4,1.1050077800577565
13184,6.85673338,1.49452544,0.12607395041666666,1.0,1.0,1.0,4,4.226117051362072
13249,0.280466981,1.37411883,0.06152369791666667,1.0,1.0,1.0,2,2.768503274762782
13249,0.935229111,1.11744239,0.08578213666666668,1.0,1.0,1.0,2,1.3846263542339083
13261,0.432287827,1.00462716,0.057874382083333335,1.0,1.0,1.0,2,0.9719475651417446
13261,0.684298784,1.13285743,0.052089675,1.0,1.0,1.0,2,1.0914799875094219
13534,1.16364323,1.62346164,0.06603681625,1.0,1.0,1.0,2,5.328826070194774
13534,1.65614998,1.40420581,0.06601589208333333,1.0,1.0,1.0,2,2.9461184719974245
13611,6.28064536,1.33222857,0.15652377708333334,1.0,1.0,1.0,2,2.8846340789365073
13611,19.7857419,1.61703753,0.22226110916666666,1.0,1.0,1.0,2,4.5545915893750255
13646,0.436709945,1.08772792,0.03135943141666667,1.0,1.0,1.0,2,1.0310583508476692
13646,1.01467624,1.31424932,0.08395509875,1.0,1.0,1.0,2,2.2764880251781427
14048,0.710034764,1.09888229,0.035386143291666665,1.0,1.0,1.0,2,1.2534175784852541
14048,61.2545258,2.09774506,0.28499327958333337,1.0,1.0,1.0,2,4.807302469757553
14339,5.60243546,1.60581054,0.14622118791666666,1.0,1.0,1.0,2,4.422244472854063
14339,12.241951,2.14651735,0.20016744958333332,1.0,1.0,1.0,2,6.277293252345924
14555,14.0701152,0.987694148,0.05907653041666667,1.0,1.0,1.0,2,1.156700228310713
14555,29.8247209,1.08055971,0.2654145220833333,1.0,1.0,1.0,2,1.3163558591808622
14559,3.83323185,1.67865953,0.12064259541666666,1.0,1.0,1.0,4,5.117925699219388
