target_id,star_id,planet_mass,planet_radius,clusterid,period,ecc,star_mass,star_radius,npl
16162.0,71739.0,2.383321558414991e-05,0.029649683109913214,2.0,39.87127684654974,0.026408541585066815,0.938,0.8762364,3
16162.0,71739.0,9.636748207084905e-06,0.010773939197417091,1.0,173.45134577715925,0.05264826324728302,0.938,0.8762364,3
16162.0,71739.0,4.2265024163897135e-06,0.007438348652417904,1.0,288.0228813070799,0.007750236206252204,0.938,0.8762364,3
16241.0,56943.0,6.739747731360754e-06,0.017060516947097298,1.0,4.098560071767263,0.034536732750789334,0.724,1.0789832,6
16241.0,56943.0,2.4779563542477526e-06,0.008648029168112917,1.0,10.69494243417805,0.01180476260210694,0.724,1.0789832,6
16241.0,56943.0,1.5110329308713505e-05,0.010836197919704714,1.0,19.290659870515928,0.03314138082473624,0.724,1.0789832,6
16241.0,56943.0,6.690239579533873e-06,0.00941388765777189,1.0,51.15052196508957,0.022826279121612083,0.724,1.0789832,6
16241.0,56943.0,9.524108764645935e-06,0.008183465639586936,1.0,73.84525718792929,0.033937802861045904,0.724,1.0789832,6
16241.0,56943.0,4.815460967921584e-05,0.017896262254947136,1.0,133.64921830946145,0.0129998358704414,0.724,1.0789832,6
16257.0,69597.0,9.118892190222885e-06,0.012333384600787853,1.0,80.9479808749711,0.013793376924697932,1.02,1.393252,2
16257.0,69597.0,6.99355721849442e-06,0.010266790076276868,1.0,189.74556161673084,0.03057434315644179,1.02,1.393252,2
16269.0,50593.0,1.0407012753444731e-05,0.006166794525112216,2.0,5.062691165897227,0.049612322655150295,1.11,1.1279309,8
16269.0,50593.0,3.035902946694284e-07,0.004685410650984488,2.0,7.183584359013728,0.030624025780134016,1.11,1.1279309,8
16269.0,50593.0,3.6007789545177857e-06,0.01093438438015725,2.0,9.433287855175486,0.03519244323885902,1.11,1.1279309,8
16269.0,50593.0,5.223725070690032e-06,0.007980162147406336,2.0,14.252604916074082,0.004608628324835028,1.11,1.1279309,8
16269.0,50593.0,1.7862679166683955e-05,0.008771328743576376,2.0,36.08433660245252,0.014395978595329253,1.11,1.1279309,8
16269.0,50593.0,8.463568068470788e-05,0.03239956610673852,1.0,68.50958524387207,0.022214787968426433,1.11,1.1279309,8
16269.0,50593.0,1.6417609821136004e-05,0.03753916932963038,1.0,142.15819114146524,0.02460011591970051,1.11,1.1279309,8
16269.0,50593.0,1.0951606371967505e-05,0.03868432146224022,1.0,212.01737602423873,0.04288091589551214,1.11,1.1279309,8
16274.0,52598.0,7.1862303223551995e-06,0.008827927816004031,1.0,3.8379167565952312,0.02487082860872265,0.889,0.88723576,5
16274.0,52598.0,6.592030083746155e-06,0.00820966930666932,1.0,5.316287322756587,0.019138064676232115,0.889,0.88723576,5
16274.0,52598.0,4.125786791297991e-06,0.009278076670697319,1.0,18.376516245066277,0.030579142904944893,0.889,0.88723576,5
16274.0,52598.0,2.13317482860705e-05,0.01388054755688457,2.0,47.52273747743863,0.030818061716923868,0.889,0.88723576,5
16274.0,52598.0,1.9914425098859847e-05,0.011374883279678505,2.0,95.8181500246649,0.031025647782309325,0.889,0.88723576,5
16343.0,27890.0,8.588155644574745e-06,0.006500410602035289,2.0,19.585145842106765,0.032192752591552264,0.948,0.9051012,4
16343.0,27890.0,1.2839875203251231e-05,0.01569467588080135,2.0,26.701502967668468,0.010681151580786665,0.948,0.9051012,4
16343.0,27890.0,7.5290460869794055e-06,0.01299591497332811,2.0,48.67640808399442,0.05365387049095883,0.948,0.9051012,4
16343.0,27890.0,3.518119160790905e-05,0.013116698534229948,2.0,225.7655978523176,0.005775282631837153,0.948,0.9051012,4
16351.0,17507.0,3.490242072287289e-05,0.03485138668027376,1.0,13.867707985632919,0.013925604913752762,1.036,1.0471538,4
