# starID,Period_days,Radius_earth,Duration_hours
10569,1.55058722e+01,2.08064452e+00,2.33218133e+00
10578,3.94256953e+01,2.49295338e+00,7.00458905e+00
10666,2.80940101e+02,3.77893734e+00,6.74055781e+00
10669,8.10630861e+00,2.28474822e+00,4.17108640e+00
10671,3.47152521e+00,5.48305885e-01,2.85669990e+00
10674,1.20298199e+00,1.34335960e+00,2.13982879e+00
10689,5.06212838e+00,1.80949146e+00,3.56253803e+00
10689,7.24390359e+00,1.47286987e+00,3.70500642e+00
10728,2.35484733e+00,2.40599563e+00,2.01535382e+00
10728,4.75715863e+00,2.05155205e+00,1.28952357e+00
10809,2.96306462e+01,1.87661251e+00,6.02631866e+00
10810,1.25860980e+01,1.73396063e+00,4.78350864e+00
10895,9.46514492e+01,6.93412918e+00,9.15485653e+00
10900,1.68555709e+01,1.62218405e+00,2.49689130e+00
10931,6.37737135e-01,3.52663004e-01,9.24629189e-01
10933,6.62207104e+01,2.49857713e+00,6.68885208e+00
10933,1.41633366e+02,2.93567179e+00,1.04777361e+01
10934,1.73921679e+01,1.90346634e+00,5.19836290e+00
10967,6.92025850e+01,8.94358396e+00,8.35868595e+00
10999,3.77810674e+00,2.31195744e+00,3.27329156e+00
10999,9.51402253e+00,1.33042667e+00,1.45630086e+00
11023,5.69027932e+00,2.57162836e+00,3.56048354e+00
11063,2.12740517e+01,2.21488318e+00,5.37025028e+00
11089,2.12037284e+00,2.59221830e+00,2.67911488e+00
11120,9.23297651e+00,1.61987793e+00,1.59721379e+00
11120,4.04416522e+01,4.36617328e+00,7.31777805e+00
11120,9.60617054e+01,4.54133291e+00,6.84724094e+00
11133,8.27810593e+00,2.88846611e+00,4.25772563e+00
11139,7.93558044e+00,2.01381766e+00,3.78946508e+00
11139,1.99111539e+01,1.95135194e+00,4.72374177e+00
